Rank,Name,Net Worth (billions),Age,Source,Country of Citizenship,Net Worth
#152,Ronald Perelman,$9.8 B,75,leveraged buyouts,United States,9.8
#154,Gautam Adani,$9.7 B,55,"commodities, ports",India,9.7
#154,Micky Arison,$9.7 B,68,Carnival Cruises,United States,9.7
#154,Pan Zhengmin,$9.7 B,48,electronics,China,9.7
#154,Joseph Tsai,$9.7 B,54,e-commerce,Canada,9.7
#158,"Thomas Frist, Jr.",$9.6 B,79,health care,United States,9.6
#158,Mikhail Prokhorov,$9.6 B,53,investments,Russia,9.6
#160,Galen Weston,$9.5 B,77,retail,Canada,9.5
#160,Zong Qinghou,$9.5 B,72,beverages,China,9.5
#162,Eyal Ofer,$9.4 B,68,"real estate, shipping",Israel,9.4
#162,Charles Schwab,$9.4 B,80,discount brokerage,United States,9.4
#164,Gianluigi & Rafaela Aponte,$9.3 B,77,Shipping,Switzerland,9.3
#164,"Herbert Kohler, Jr.",$9.3 B,79,plumbing fixtures,United States,9.3
#164,Viktor Rashnikov,$9.3 B,69,steel,Russia,9.3
#167,Harry Triguboff,$9.2 B,85,real estate,Australia,9.2
#167,August von Finck,$9.2 B,88,investments,Germany,9.2
#167,Yao Zhenhua,$9.2 B,48,conglomerate,China,9.2
#170,Jan Koum,$9.1 B,42,WhatsApp,United States,9.1
#170,Cyrus Poonawalla,$9.1 B,77,vaccines,India,9.1
#172,James Goodnight,$9 B,75,software,United States,9
#172,Ken Griffin,$9 B,49,hedge funds,United States,9
#174,Giorgio Armani,$8.9 B,83,luxury goods,Italy,8.9
#174,Ernesto Bertarelli,$8.9 B,52,"biotech, investments",Switzerland,8.9
#176,Savitri Jindal,$8.8 B,68,steel,India,8.8
#176,Sunil Mittal,$8.8 B,60,telecom,India,8.8
#178,James Chambers,$8.7 B,61,media,United States,8.7
#178,Katharine Rayner,$8.7 B,73,media,United States,8.7
#178,Margaretta Taylor,$8.7 B,76,media,United States,8.7
#181,Terry Gou,$8.5 B,67,electronics,Taiwan,8.5
#181,Gordon Moore,$8.5 B,89,Intel,United States,8.5
#183,James Irving,$8.3 B,90,diversified,Canada,8.3
#183,Stanley Kroenke,$8.3 B,70,"sports, real estate",United States,8.3
#185,Melker Schorling,$8.2 B,71,investments,Sweden,8.2
#186,Johann Graf,$8.1 B,71,gambling,Austria,8.1
#186,Guo Guangchang,$8.1 B,51,conglomerate,China,8.1
#186,John Malone,$8.1 B,77,cable television,United States,8.1
#186,Xavier Niel,$8.1 B,50,"internet, telecom",France,8.1
#190,Silvio Berlusconi,$8 B,81,media,Italy,8
#190,Carl Cook,$8 B,55,medical devices,United States,8
#190,David Geffen,$8 B,75,"movies, record labels",United States,8
#190,Hui Wing Mau,$8 B,67,real estate,Hong Kong,8
#190,Walter Kwok,$8 B,67,real estate,Hong Kong,8
#190,George Soros,$8 B,87,hedge funds,United States,8
#196,"Edward Johnson, III.",$7.9 B,87,money management,United States,7.9
#196,Massimiliana Landini Aleotti,$7.9 B,75,pharmaceuticals,Italy,7.9
#198,David Duffield,$7.8 B,77,business software,United States,7.8
#198,George Kaiser,$7.8 B,75,"oil & gas, banking",United States,7.8
#198,Patrick Soon-Shiong,$7.8 B,65,pharmaceuticals,United States,7.8
#198,Zhou Qunfei,$7.8 B,48,smartphone screens,Hong Kong,7.8
#202,Nicky Oppenheimer,$7.7 B,73,diamonds,South Africa,7.7
#202,Sun Piaoyang,$7.7 B,59,pharmaceuticals,China,7.7
#202,Wu Yajun,$7.7 B,54,real estate,China,7.7
#205,Alexei Kuzmichev,$7.6 B,55,"oil, banking, telecom",Russia,7.6
#205,Stephen Ross,$7.6 B,78,real estate,United States,7.6
#207,Vincent Bollore,$7.4 B,66,investments,France,7.4
#207,Pauline MacMillan Keinath,$7.4 B,84,Cargill,United States,7.4
#207,Jay Y. Lee,$7.4 B,49,Samsung,South Korea,7.4
#207,Anders Holch Povlsen,$7.4 B,45,fashion retail,Denmark,7.4
#211,Eli Broad,$7.3 B,85,investments,United States,7.3
#211,Michael Kadoorie,$7.3 B,76,"hotels, energy",Hong Kong,7.3
#211,Iskander Makhmudov,$7.3 B,54,"mining, metals, machinery",Russia,7.3
#211,Frederik Paulsen,$7.3 B,67,health care,Sweden,7.3
#211,Sun Hongbin,$7.3 B,55,real estate,United States,7.3
#211,Christy Walton,$7.3 B,69,Walmart,United States,7.3
#217,Shahid Khan,$7.2 B,67,auto parts,United States,7.2
#217,Ananda Krishnan,$7.2 B,80,"telecoms, media, oil-services",Malaysia,7.2
#217,Carrie Perrodo,$7.2 B,67,oil,France,7.2
#217,Quek Leng Chan,$7.2 B,76,"banking, property",Malaysia,7.2
#217,Wang Wenxue,$7.2 B,51,real estate,China,7.2
#222,John Doerr,$7.1 B,66,venture capital,United States,7.1
#222,Patrick Drahi,$7.1 B,54,telecom,France,7.1
#222,Eva Gonda de Rivera,$7.1 B,-,beverages,Mexico,7.1
#222,Willi & Isolde Liebherr,$7.1 B,-,Construction,Switzerland,7.1
#222,Ricardo Salinas Pliego,$7.1 B,62,"retail, media",Mexico,7.1
#222,Suh Kyung-Bae,$7.1 B,55,cosmetics,South Korea,7.1
#228,Pollyanna Chu,$7 B,60,financial services,Hong Kong,7
#228,John Fredriksen,$7 B,73,shipping,Cyprus,7
#228,Goh Cheng Liang,$7 B,91,paints,Singapore,7
#228,Sri Prakash Lohia,$7 B,65,polyester,Indonesia,7
#228,Lu Zhiqiang,$7 B,65,real estate,China,7
#228,Jorn Rausing,$7 B,58,packaging,Sweden,7
#228,Johann Rupert,$7 B,68,luxury goods,South Africa,7
#228,Jacques Saade,$7 B,81,shipping,France,7
#228,Wu Shaoxun,$7 B,62,wine,China,7
#237,Leonid Fedun,$6.9 B,62,oil,Russia,6.9
#237,Kim Jung-Ju,$6.9 B,50,online games,South Korea,6.9
#237,Sandra Ortega Mera,$6.9 B,49,Zara,Spain,6.9
#237,Jim Pattison,$6.9 B,89,diversified,Canada,6.9
#237,Michael Platt,$6.9 B,50,hedge funds,United Kingdom,6.9
#242,Chan Laiwa,$6.8 B,77,real estate,China,6.8
#242,David Green,$6.8 B,76,retail,United States,6.8
#242,Hank & Doug Meijer,$6.8 B,-,supermarkets,United States,6.8
#242,Dmitry Rybolovlev,$6.8 B,51,fertilizer,Russia,6.8
#242,Tsai Eng-Meng,$6.8 B,61,"food, beverages",Taiwan,6.8
#242,Andreas von Bechtolsheim,$6.8 B,62,Google,Germany,6.8
#248,Oleg Deripaska,$6.7 B,50,"aluminum, utilities",Russia,6.7
#248,Liu Yongxing,$6.7 B,70,diversified,China,6.7
#248,Ludwig Merckle,$6.7 B,53,pharmaceuticals,Germany,6.7
#251,Brian Acton,$6.6 B,46,WhatsApp,United States,6.6
#251,John Grayken,$6.6 B,62,private equity,Ireland,6.6
#251,Ann Walton Kroenke,$6.6 B,69,Walmart,United States,6.6
#251,Augusto & Giorgio Perfetti,$6.6 B,-,candy,Italy,6.6
#251,Finn Rausing,$6.6 B,63,packaging,Sweden,6.6
#251,Kirsten Rausing,$6.6 B,66,packaging,Sweden,6.6
#251,Odd Reitan,$6.6 B,66,"retail, real estate",Norway,6.6
#251,Nassef Sawiris,$6.6 B,57,"construction, chemicals",Egypt,6.6
#251,Wee Cho Yaw,$6.6 B,89,banking,Singapore,6.6
#251,Aloys Wobben,$6.6 B,66,wind turbines,Germany,6.6
#261,Leon Black,$6.5 B,66,private equity,United States,6.5
#261,Ivan Glasenberg,$6.5 B,61,mining,Switzerland,6.5
#261,John Paulson,$6.5 B,62,hedge funds,United States,6.5
#261,Wei Jianjun,$6.5 B,54,automobiles,China,6.5
#265,Francis Choi,$6.4 B,70,real estate,Hong Kong,6.4
#265,Erivan Haub,$6.4 B,85,retail,Germany,6.4
#265,Jason Jiang,$6.4 B,45,advertising,China,6.4
#265,Suleiman Kerimov,$6.4 B,52,investments,Russia,6.4
#265,Ian & Richard Livingstone,$6.4 B,-,real estate,United Kingdom,6.4
#265,Pang Kang,$6.4 B,62,soy sauce maker,China,6.4
#265,David Shaw,$6.4 B,67,hedge funds,United States,6.4
#265,Kushal Pal Singh,$6.4 B,86,real estate,India,6.4
#265,John A. Sobrato,$6.4 B,79,real estate,United States,6.4
#274,Acharya Balkrishna,$6.3 B,45,consumer goods,India,6.3
#274,Guenther Fielmann,$6.3 B,78,optometry,Germany,6.3
#274,Daniel Gilbert,$6.3 B,56,Quicken Loans,United States,6.3
#274,Antonia Johnson,$6.3 B,74,diversified,Sweden,6.3
#274,Vikram Lal,$6.3 B,76,motorcycles,India,6.3
#274,Akira Mori,$6.3 B,81,real estate,Japan,6.3
#274,Maria-Elisabeth Schaeffler-Thumann,$6.3 B,76,auto parts,Germany,6.3
#281,Albert Frere,$6.2 B,92,investments,Belgium,6.2
#281,Richard Kinder,$6.2 B,73,pipelines,United States,6.2
#281,Robert Kraft,$6.2 B,77,New England Patriots,United States,6.2
#281,Ralph Lauren,$6.2 B,78,Ralph Lauren,United States,6.2
#281,Bruno Schroder,$6.2 B,85,banking,United Kingdom,6.2
#281,Nusli Wadia,$6.2 B,74,consumer goods,India,6.2
#287,Pierre Bellon,$6.1 B,88,food services,France,6.1
#287,Les Wexner,$6.1 B,80,retail,United States,6.1
#289,Benu Gopal Bangur,$6 B,87,cement,India,6
#289,David Cheriton,$6 B,67,Google,Canada,6
#289,Ma Jianrong,$6 B,54,"textiles, apparel",China,6
#289,Whitney MacMillan,$6 B,88,Cargill,United States,6
#289,Dan Olsson,$6 B,71,diversified,Sweden,6
#289,Vivek Chaand Sehgal,$6 B,61,auto parts,Australia,6
#289,Teh Hong Piow,$6 B,88,banking,Malaysia,6
#296,Abdulla bin Ahmad Al Ghurair,$5.9 B,-,diversified,United Arab Emirates,5.9
#296,Maria Asuncion Aramburuzabala,$5.9 B,55,"beer, investments",Mexico,5.9
#296,Ralph Dommermuth,$5.9 B,54,internet service provider,Germany,5.9
#296,Frank Lowy,$5.9 B,87,shopping malls,Australia,5.9
#296,Wolfgang Marguerre,$5.9 B,77,pharmaceuticals,Germany,5.9
#296,Marijke Mars,$5.9 B,53,"candy, pet food",United States,5.9
#296,Pamela Mars,$5.9 B,57,"candy, pet food",United States,5.9
#296,Valerie Mars,$5.9 B,59,"candy, pet food",United States,5.9
#296,Victoria Mars,$5.9 B,61,"candy, pet food",United States,5.9
#305,David & Frederick Barclay,$5.8 B,84,"media, retail",United Kingdom,5.8
#305,"John Gokongwei, Jr.",$5.8 B,91,food and beverage,Philippines,5.8
#305,Kwon Hyuk-Bin,$5.8 B,44,online games,South Korea,5.8
#305,Nancy Walton Laurie,$5.8 B,67,Walmart,United States,5.8
#305,Lin Yu-Ling,$5.8 B,81,real estate,Taiwan,5.8
#305,Tom & Judy Love,$5.8 B,81,retail & gas stations,United States,5.8
#305,Robert Rowling,$5.8 B,64,investments,United States,5.8
#305,Dennis Washington,$5.8 B,83,"construction, mining",United States,5.8
#305,Yao Liangsong,$5.8 B,53,furniture,China,5.8
#305,Zhang Jindong,$5.8 B,55,appliance retailer,China,5.8
#315,Juan Francisco Beckmann Vidal,$5.7 B,78,tequila,Mexico,5.7
#315,David Sun,$5.7 B,66,computer hardware,United States,5.7
#315,John Tu,$5.7 B,76,computer hardware,United States,5.7
#315,Martin Viessmann,$5.7 B,64,heating equipment,Germany,5.7
#315,Stef Wertheimer,$5.7 B,91,metalworking tools,Israel,5.7
#315,Hansjoerg Wyss,$5.7 B,83,medical devices,Switzerland,5.7
#321,James Dyson,$5.6 B,71,vacuums,United Kingdom,5.6
#321,Laurence Graff,$5.6 B,80,diamond jewelry,United Kingdom,5.6
#321,Jen-Hsun Huang,$5.6 B,55,semiconductors,United States,5.6
#321,Charles Johnson,$5.6 B,85,money management,United States,5.6
#321,Jerry Jones,$5.6 B,75,Dallas Cowboys,United States,5.6
#321,Kei Hoi Pang,$5.6 B,52,real estate,China,5.6
#321,Kwee family,$5.6 B,-,Real Estate,Singapore,5.6
#321,Lee Shin Cheng,$5.6 B,79,"palm oil, property",Malaysia,5.6
#321,Richard LeFrak,$5.6 B,72,real estate,United States,5.6
#321,Shigenobu Nagamori,$5.6 B,73,motors,Japan,5.6
#321,Steven Rales,$5.6 B,67,manufacturing,United States,5.6
#321,Friede Springer,$5.6 B,75,publishing,Germany,5.6
#321,Yeung Kin-man,$5.6 B,54,electronics,Hong Kong,5.6
#334,Rinat Akhmetov,$5.5 B,51,"steel, coal",Ukraine,5.5
#334,Shari Arison,$5.5 B,60,Carnival Cruises,Israel,5.5
#334,Dannine Avara,$5.5 B,54,pipelines,United States,5.5
#334,Rahel Blocher,$5.5 B,42,chemicals,Switzerland,5.5
#334,Andrew Currie,$5.5 B,62,chemicals,United Kingdom,5.5
#334,Scott Duncan,$5.5 B,35,pipelines,United States,5.5
#334,Milane Frantz,$5.5 B,48,pipelines,United States,5.5
#334,Diane Hendricks,$5.5 B,71,roofing,United States,5.5
#334,Magdalena Martullo-Blocher,$5.5 B,49,chemicals,Switzerland,5.5
#334,Hiroshi Mikitani,$5.5 B,53,online retail,Japan,5.5
#334,Gabe Newell,$5.5 B,55,videogames,United States,5.5
#334,Pan Sutong,$5.5 B,55,"real estate, finance",Hong Kong,5.5
#334,Anthony Pratt,$5.5 B,58,manufacturing,Australia,5.5
#334,John Reece,$5.5 B,61,chemicals,United Kingdom,5.5
#334,Randa Williams,$5.5 B,56,pipelines,United States,5.5
#334,Zhang Bangxin,$5.5 B,38,after-school tutoring,China,5.5
#334,Zhang Shiping,$5.5 B,71,aluminum products,China,5.5
#351,Jean-Michel Besnier,$5.4 B,51,cheese,France,5.4
#351,Marie Besnier Beauvalot,$5.4 B,37,cheese,France,5.4
#351,Richard DeVos,$5.4 B,92,Amway,United States,5.4
#351,Michael Herz,$5.4 B,74,coffee,Germany,5.4
#351,Wolfgang Herz,$5.4 B,67,coffee,Germany,5.4
#351,Kjeld Kirk Kristiansen,$5.4 B,70,Lego,Denmark,5.4
#351,Sofie Kirk Kristiansen,$5.4 B,42,Lego,Denmark,5.4
#351,Thomas Kirk Kristiansen,$5.4 B,-,Lego,Denmark,5.4
#351,Lam Wai Ying,$5.4 B,-,smartphone screens,Hong Kong,5.4
#351,Lin Xiucheng,$5.4 B,62,electronics,China,5.4
#351,Margarita Louis-Dreyfus,$5.4 B,56,commodities,Switzerland,5.4
#351,George Roberts,$5.4 B,74,private equity,United States,5.4
#351,"Edward Roski, Jr.",$5.4 B,79,real estate,United States,5.4
#351,Agnete Kirk Thinggaard,$5.4 B,-,Lego,Denmark,5.4
#365,Mike Adenuga,$5.3 B,65,"telecom, oil",Nigeria,5.3
#365,Jim Davis,$5.3 B,75,New Balance,United States,5.3
#365,David Filo,$5.3 B,52,Yahoo,United States,5.3
#365,Pansy Ho,$5.3 B,55,casinos,Hong Kong,5.3
#365,Henry Kravis,$5.3 B,74,private equity,United States,5.3
#365,Emanuele (Lino) Saputo,$5.3 B,81,cheese,Canada,5.3
#365,Xu Chuanhua,$5.3 B,83,"chemicals, logistics",China,5.3
#372,Alexander Abramov,$5.2 B,59,"steel, mining",Russia,5.2
#372,Israel Englander,$5.2 B,69,hedge funds,United States,5.2
#372,Frits Goldschmeding,$5.2 B,84,temp agency,Netherlands,5.2
#372,Marian Ilitch,$5.2 B,85,"pizza, sports team",United States,5.2
#372,Bruce Kovner,$5.2 B,73,hedge funds,United States,5.2
#372,George Lucas,$5.2 B,74,Star Wars,United States,5.2
#372,Kalanithi Maran,$5.2 B,52,media,India,5.2
#372,Elisabeth Mohn,$5.2 B,77,publishing,Germany,5.2
#372,"Robert Rich, Jr.",$5.2 B,77,frozen foods,United States,5.2
#372,Wang Chuanfu,$5.2 B,52,"batteries, automobiles",China,5.2
#382,Maria Fernanda Amorim,$5.1 B,83,"energy, investments",Portugal,5.1
#382,Pyotr Aven,$5.1 B,63,"oil, banking, telecom",Russia,5.1
#382,Bernard Marcus,$5.1 B,89,Home Depot,United States,5.1
#382,Pedro Moreira Salles,$5.1 B,58,"banking, minerals",Brazil,5.1
#382,Frederick Smith,$5.1 B,73,FedEx,United States,5.1
#382,Ronda Stryker,$5.1 B,64,medical equipment,United States,5.1
#388,Richard Branson,$5 B,67,Virgin,United Kingdom,5
#388,Subhash Chandra,$5 B,67,media,India,5
#388,Denise Coates,$5 B,50,online gambling,United Kingdom,5
#388,Martha Ingram,$5 B,82,"book distribution, transportation",United States,5
#388,Law Kar Po,$5 B,70,real estate,Hong Kong,5
#388,Joe Lewis,$5 B,81,investments,United Kingdom,5
#388,Gabriella Meister,$5 B,70,appliances,Germany,5
#388,Fernando Roberto Moreira Salles,$5 B,72,"banking, minerals",Brazil,5
#388,Joao Moreira Salles,$5 B,56,"banking, minerals",Brazil,5
#388,Walther Moreira Salles Junior,$5 B,62,"banking, minerals",Brazil,5
#388,Pankaj Patel,$5 B,65,pharmaceuticals,India,5
#388,Karen Pritzker,$5 B,60,"hotels, investments",United States,5
#388,Thomas Schmidheiny,$5 B,72,cement,Switzerland,5
#388,Vichai Srivaddhanaprabha,$5 B,60,duty-free,Thailand,5
#388,Keiichiro Takahara,$5 B,87,diapers,Japan,5
#388,M.A. Yusuff Ali,$5 B,62,retail,India,5
#404,Robert Bass,$4.9 B,70,"oil, investments",United States,4.9
#404,Marc Benioff,$4.9 B,53,business software,United States,4.9
#404,Martin & Olivier Bouygues,$4.9 B,-,"construction, media",France,4.9
#404,Chung Mong-Koo,$4.9 B,80,motor vehicles,South Korea,4.9
#404,Charles Dolan,$4.9 B,91,cable television,United States,4.9
